Modulo,Archivo PHP,Asset Referenciado,Tipo,Estado,Ruta Completa
facturas,class-facturas-module.php,assets/js/facturas.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/facturas/assets/js/facturas.js
fichaje-empleados,frontend/class-fichaje-empleados-frontend-controller.php,assets/css/fichaje-empleados.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/fichaje-empleados/assets/css/fichaje-empleados.css
fichaje-empleados,frontend/class-fichaje-empleados-frontend-controller.php,assets/js/fichaje-empleados.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/fichaje-empleados/assets/js/fichaje-empleados.js
grupos-consumo,class-grupos-consumo-module.php,assets/gc-frontend.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/grupos-consumo/assets/gc-frontend.css
grupos-consumo,class-grupos-consumo-module.php,assets/gc-frontend.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/grupos-consumo/assets/gc-frontend.js
grupos-consumo,frontend/class-gc-frontend-controller.php,assets/gc-catalogo.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/grupos-consumo/assets/gc-catalogo.css
grupos-consumo,frontend/class-gc-frontend-controller.php,assets/gc-catalogo.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/grupos-consumo/assets/gc-catalogo.js
grupos-consumo,class-gc-dashboard-tab.php,assets/gc-dashboard.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/grupos-consumo/assets/gc-dashboard.css
grupos-consumo,class-gc-dashboard-tab.php,assets/gc-dashboard.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/grupos-consumo/assets/gc-dashboard.js
grupos-consumo,class-gc-conciencia-features.php,assets/css/trueques.css,CSS,NO EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/grupos-consumo/assets/css/trueques.css
grupos-consumo,class-gc-conciencia-features.php,assets/js/trueques.js,JS,NO EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/grupos-consumo/assets/js/trueques.js
huella-ecologica,class-huella-ecologica-module.php,assets/css/huella-ecologica.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/huella-ecologica/assets/css/huella-ecologica.css
huella-ecologica,class-huella-ecologica-module.php,assets/js/huella-ecologica.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/huella-ecologica/assets/js/huella-ecologica.js
huertos-urbanos,class-huertos-urbanos-module.php,assets/css/huertos.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/huertos-urbanos/assets/css/huertos.css
huertos-urbanos,class-huertos-urbanos-module.php,assets/js/huertos.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/huertos-urbanos/assets/js/huertos.js
incidencias,frontend/class-incidencias-frontend-controller.php,assets/css/incidencias-frontend.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/incidencias/assets/css/incidencias-frontend.css
incidencias,frontend/class-incidencias-frontend-controller.php,assets/js/incidencias-frontend.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/incidencias/assets/js/incidencias-frontend.js
justicia-restaurativa,class-justicia-restaurativa-module.php,assets/css/justicia-restaurativa.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/justicia-restaurativa/assets/css/justicia-restaurativa.css
justicia-restaurativa,class-justicia-restaurativa-module.php,assets/js/justicia-restaurativa.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/justicia-restaurativa/assets/js/justicia-restaurativa.js
marketplace,frontend/class-marketplace-frontend-controller.php,assets/marketplace-frontend.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/marketplace/assets/marketplace-frontend.css
marketplace,frontend/class-marketplace-frontend-controller.php,assets/marketplace-frontend.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/marketplace/assets/marketplace-frontend.js
multimedia,class-multimedia-module.php,assets/css/multimedia-frontend.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/multimedia/assets/css/multimedia-frontend.css
multimedia,class-multimedia-module.php,assets/js/multimedia-frontend.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/multimedia/assets/js/multimedia-frontend.js
multimedia,class-multimedia-module.php,assets/css/multimedia-admin.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/multimedia/assets/css/multimedia-admin.css
multimedia,class-multimedia-module.php,assets/js/multimedia-admin.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/multimedia/assets/js/multimedia-admin.js
parkings,class-parkings-module.php,assets/css/parkings.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/parkings/assets/css/parkings.css
parkings,class-parkings-module.php,assets/js/parkings.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/parkings/assets/js/parkings.js
participacion,class-participacion-module.php,assets/css/participacion.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/participacion/assets/css/participacion.css
participacion,class-participacion-module.php,assets/js/participacion.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/participacion/assets/js/participacion.js
podcast,class-podcast-module.php,assets/css/podcast.css,CSS,NO EXISTE (verificado),/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/podcast/assets/css/podcast.css
podcast,class-podcast-module.php,assets/js/podcast.js,JS,NO EXISTE (verificado),/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/podcast/assets/js/podcast.js
presupuestos-participativos,class-presupuestos-participativos-module.php,assets/css/presupuestos.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/presupuestos-participativos/assets/css/presupuestos.css
presupuestos-participativos,class-presupuestos-participativos-module.php,assets/js/presupuestos.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/presupuestos-participativos/assets/js/presupuestos.js
radio,class-radio-module.php,assets/css/radio-frontend.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/radio/assets/css/radio-frontend.css
radio,class-radio-module.php,assets/js/radio-frontend.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/radio/assets/js/radio-frontend.js
radio,class-radio-module.php,assets/css/radio-admin.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/radio/assets/css/radio-admin.css
radio,class-radio-module.php,assets/js/radio-admin.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/radio/assets/js/radio-admin.js
reciclaje,class-reciclaje-module.php,assets/css/reciclaje.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/reciclaje/assets/css/reciclaje.css
reciclaje,class-reciclaje-module.php,assets/js/reciclaje.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/reciclaje/assets/js/reciclaje.js
reciclaje,class-reciclaje-module.php,assets/reciclaje-admin.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/reciclaje/assets/reciclaje-admin.css
reciclaje,class-reciclaje-module.php,assets/reciclaje-admin.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/reciclaje/assets/reciclaje-admin.js
