file,line,href,severity,reason,snippet
templates/frontend/bicicletas/single.php,114,#,ALTO,href_vacio,"<a href=""#"" class=""bg-white rounded-xl p-4 shadow-md hover:shadow-lg transition-shadow flex items-center gap-4"">"
templates/frontend/grupos-consumo/single.php,46,#pedido,BAJO,anchor_local_ok,"<a href=""#pedido"" class=""bg-white text-green-600 px-6 py-3 rounded-xl font-semibold hover:bg-green-50 transition-all text-center"">"
templates/frontend/grupos-consumo/single-gc_grupo.php,398,#productos,BAJO,anchor_local_ok,"<a href=""#productos"" class=""bg-white text-green-600 px-6 py-3 rounded-xl font-semibold hover:bg-green-50 transition-all text-center shadow-lg flex items-center justify-center gap-2"
templates/frontend/grupos-consumo/single-gc_grupo.php,413,#unirse,BAJO,anchor_local_ok,"<a href=""#unirse"" class=""bg-white text-green-600 px-6 py-3 rounded-xl font-semibold hover:bg-green-50 transition-all text-center shadow-lg flex items-center justify-center gap-2"">"
templates/frontend/grupos-consumo/single-gc_grupo.php,491,#productos,BAJO,anchor_local_ok,"<a href=""#productos"" class=""inline-flex items-center gap-2 bg-amber-500 hover:bg-amber-600 text-white px-5 py-2.5 rounded-xl font-semibold transition-colors"">"
templates/frontend/grupos-consumo/single-gc_grupo.php,885,#productos,BAJO,anchor_local_ok,"<a href=""#productos"" class=""block w-full bg-lime-500 hover:bg-lime-600 text-white py-3 px-4 rounded-xl font-semibold transition-colors text-center"">"
templates/frontend/espacios-comunes/search.php,185,#,ALTO,href_vacio,"<a href=""#"" class=""text-rose-600 font-medium text-sm hover:text-rose-700"">"
templates/frontend/espacios-comunes/single.php,26,#,ALTO,href_vacio,"<a href=""#"" class=""hover:text-rose-600""><?php echo esc_html__('Inicio', 'flavor-chat-ia'); ?></a>"
templates/frontend/espacios-comunes/single.php,28,#,ALTO,href_vacio,"<a href=""#"" class=""hover:text-rose-600""><?php echo esc_html__('Espacios', 'flavor-chat-ia'); ?></a>"
templates/frontend/espacios-comunes/single.php,197,#contacto,MEDIO,anchor_global_ok,"<a href=""#contacto"" class=""flex items-center gap-3 p-3 rounded-xl bg-gray-50 hover:bg-rose-50 transition-colors"">"
templates/frontend/radio/single.php,24,#,ALTO,href_vacio,"<a href=""#"" class=""hover:text-white""><?php echo esc_html__('Radio', 'flavor-chat-ia'); ?></a>"
templates/frontend/radio/single.php,119,#,ALTO,href_vacio,"<a href=""#"" class=""flex items-center gap-3 p-3 rounded-xl bg-gray-50 hover:bg-red-50 transition-colors"">"
templates/frontend/radio/single.php,125,#,ALTO,href_vacio,"<a href=""#"" class=""flex items-center gap-3 p-3 rounded-xl bg-gray-50 hover:bg-red-50 transition-colors"">"
templates/frontend/cursos/search.php,155,#,ALTO,href_vacio,"<a href=""#"" class=""text-purple-600 font-medium text-sm hover:text-purple-700""><?php echo esc_html__('Ver curso →', 'flavor-chat-ia'); ?></a>"
templates/frontend/cursos/single.php,30,#,ALTO,href_vacio,"<a href=""#"" class=""hover:text-purple-600""><?php echo esc_html__('Inicio', 'flavor-chat-ia'); ?></a>"
templates/frontend/cursos/single.php,32,#,ALTO,href_vacio,"<a href=""#"" class=""hover:text-purple-600""><?php echo esc_html__('Cursos', 'flavor-chat-ia'); ?></a>"
templates/frontend/compostaje/single.php,27,#,ALTO,href_vacio,"<a href=""#"" class=""hover:text-green-600""><?php echo esc_html__('Inicio', 'flavor-chat-ia'); ?></a>"
templates/frontend/compostaje/single.php,29,#,ALTO,href_vacio,"<a href=""#"" class=""hover:text-green-600""><?php echo esc_html__('Compostaje', 'flavor-chat-ia'); ?></a>"
templates/frontend/compostaje/single.php,155,#,ALTO,href_vacio,"<a href=""#"" class=""text-green-600 font-medium text-sm hover:text-green-700""><?php echo esc_html__('Ver todos los participantes', 'flavor-chat-ia'); ?></a>"
templates/frontend/compostaje/single.php,206,#,ALTO,href_vacio,"<a href=""#"" class=""block p-3 rounded-xl hover:bg-green-50 transition-colors"">"
templates/frontend/compostaje/single.php,213,#,ALTO,href_vacio,"<a href=""#"" class=""block p-3 rounded-xl hover:bg-green-50 transition-colors"">"
templates/frontend/compostaje/single.php,220,#,ALTO,href_vacio,"<a href=""#"" class=""block p-3 rounded-xl hover:bg-green-50 transition-colors"">"
templates/frontend/biblioteca/single.php,26,#,ALTO,href_vacio,"<a href=""#"" class=""hover:text-indigo-600""><?php echo esc_html__('Inicio', 'flavor-chat-ia'); ?></a>"
templates/frontend/biblioteca/single.php,28,#,ALTO,href_vacio,"<a href=""#"" class=""hover:text-indigo-600""><?php echo esc_html__('Biblioteca', 'flavor-chat-ia'); ?></a>"
templates/frontend/biblioteca/single.php,91,#,ALTO,href_vacio,"<a href=""#"" class=""ml-auto px-4 py-2 rounded-xl text-indigo-600 bg-indigo-50 font-medium hover:bg-indigo-100 transition-colors"">"
templates/frontend/reciclaje/single.php,23,#,ALTO,href_vacio,"<a href=""#"" class=""hover:text-white""><?php echo esc_html__('Reciclaje', 'flavor-chat-ia'); ?></a>"
