source_page,link,resolved_url,http_status,result,final_url,title
/mi-portal/,http://localhost:10028/mi-portal/chat-grupos/,http://localhost:10028/mi-portal/chat-grupos/,200,OK,http://localhost:10028/mi-portal/chat-grupos/,Chat grupos - sitio prueba
/mi-portal/,http://localhost:10028/mi-portal/radio/,http://localhost:10028/mi-portal/radio/,200,OK,http://localhost:10028/mi-portal/radio/,Radio - sitio prueba
/mi-portal/,http://localhost:10028/mi-portal/colectivos/,http://localhost:10028/mi-portal/colectivos/,200,OK,http://localhost:10028/mi-portal/colectivos/,Colectivos - sitio prueba
/mi-portal/,http://localhost:10028/mi-portal/eventos/,http://localhost:10028/mi-portal/eventos/,200,OK,http://localhost:10028/mi-portal/eventos/,Eventos - sitio prueba
/mi-portal/,http://localhost:10028/mi-portal/presupuestos-participativos/,http://localhost:10028/mi-portal/presupuestos-participativos/,200,OK,http://localhost:10028/mi-portal/presupuestos-participativos/,Presupuestos participativos - sitio prueba
/mi-portal/,http://localhost:10028/mi-portal/bicicletas-compartidas/,http://localhost:10028/mi-portal/bicicletas-compartidas/,200,OK,http://localhost:10028/mi-portal/bicicletas-compartidas/,Bicicletas compartidas - sitio prueba
/mi-portal/,http://localhost:10028/terminos,http://localhost:10028/terminos,200,OK,http://localhost:10028/terminos-condiciones/,Términos y Condiciones &#8211; sitio prueba
/mi-portal/,http://localhost:10028/contacto/,http://localhost:10028/contacto/,200,OK,http://localhost:10028/contacto/,Contacto &#8211; sitio prueba
/mi-portal/,http://localhost:10028/mi-portal/fichaje-empleados/,http://localhost:10028/mi-portal/fichaje-empleados/,200,OK,http://localhost:10028/mi-portal/fichaje-empleados/,Fichaje empleados - sitio prueba
/mi-portal/,http://localhost:10028/mi-portal/talleres/,http://localhost:10028/mi-portal/talleres/,200,OK,http://localhost:10028/mi-portal/talleres/,Talleres - sitio prueba
/mi-portal/,http://localhost:10028/mi-portal/incidencias/,http://localhost:10028/mi-portal/incidencias/,200,OK,http://localhost:10028/mi-portal/incidencias/,Incidencias - sitio prueba
/mi-portal/,http://localhost:10028/mi-portal/,http://localhost:10028/mi-portal/,200,OK,http://localhost:10028/mi-portal/,Dashboard - sitio prueba
/mi-portal/,http://localhost:10028,http://localhost:10028,200,OK,http://localhost:10028/,sitio prueba
/mi-portal/avisos-municipales/,http://localhost:10028/wp-login.php?action=logout&#038;_wpnonce=cb4ccb2658,http://localhost:10028/wp-login.php?action=logout&#038;_wpnonce=cb4ccb2658,403,OK,http://localhost:10028/wp-login.php?action=logout&#038;_wpnonce=cb4ccb2658,You are attempting to log out of sitio prueba
/mi-portal/avisos-municipales/,?aviso=1,http://localhost:10028/mi-portal/avisos-municipales/?aviso=1,200,OK,http://localhost:10028/mi-portal/avisos-municipales/?aviso=1,Avisos municipales - sitio prueba
/mi-portal/avisos-municipales/,http://localhost:10028/orders/,http://localhost:10028/orders/,404,NOT_FOUND,http://localhost:10028/orders/,Page not found &#8211; sitio prueba
/mi-portal/avisos-municipales/,http://localhost:10028/hello-world/,http://localhost:10028/hello-world/,200,OK,http://localhost:10028/hello-world/,Hello world! &#8211; sitio prueba
/mi-portal/avisos-municipales/,http://localhost:10028/cookies,http://localhost:10028/cookies,404,NOT_FOUND,http://localhost:10028/cookies,Page not found &#8211; sitio prueba
/mi-portal/avisos-municipales/,http://localhost:10028/avisos-municipales/,http://localhost:10028/avisos-municipales/,200,NOT_FOUND,http://localhost:10028/avisos-municipales/,Avisos municipales - sitio prueba
/mi-portal/avisos-municipales/,?aviso=4,http://localhost:10028/mi-portal/avisos-municipales/?aviso=4,200,OK,http://localhost:10028/mi-portal/avisos-municipales/?aviso=4,Avisos municipales - sitio prueba
/mi-portal/avisos-municipales/,/avisos-municipales/?categoria=obras,http://localhost:10028/avisos-municipales/?categoria=obras,200,NOT_FOUND,http://localhost:10028/avisos-municipales/?categoria=obras,Avisos municipales - sitio prueba
/mi-portal/avisos-municipales/,http://localhost:10028/mi-portal/avisos-municipales/,http://localhost:10028/mi-portal/avisos-municipales/,200,OK,http://localhost:10028/mi-portal/avisos-municipales/,Avisos municipales - sitio prueba
/mi-portal/avisos-municipales/,http://localhost:10028/wp-login.php?action=logout&#038;redirect_to=http%3A%2F%2Flocalhost%3A10028&#038;_wpnonce=cb4ccb2658,http://localhost:10028/wp-login.php?action=logout&#038;redirect_to=http%3A%2F%2Flocalhost%3A10028&#038;_wpnonce=cb4ccb2658,403,OK,http://localhost:10028/wp-login.php?action=logout&#038;redirect_to=http%3A%2F%2Flocalhost%3A10028&%23038;_wpnonce=cb4ccb2658,You are attempting to log out of sitio prueba
/mi-portal/avisos-municipales/,http://localhost:10028/xmlrpc.php?rsd,http://localhost:10028/xmlrpc.php?rsd,200,OK,http://localhost:10028/xmlrpc.php?rsd,
/mi-portal/avisos-municipales/,http://localhost:10028/,http://localhost:10028/,200,OK,http://localhost:10028/,sitio prueba
/mi-portal/avisos-municipales/,/avisos-municipales/?categoria=trafico,http://localhost:10028/avisos-municipales/?categoria=trafico,200,NOT_FOUND,http://localhost:10028/avisos-municipales/?categoria=trafico,Avisos municipales - sitio prueba
/mi-portal/avisos-municipales/,?aviso=5,http://localhost:10028/mi-portal/avisos-municipales/?aviso=5,200,OK,http://localhost:10028/mi-portal/avisos-municipales/?aviso=5,Avisos municipales - sitio prueba
/mi-portal/avisos-municipales/,http://localhost:10028/terminos,http://localhost:10028/terminos,200,OK,http://localhost:10028/terminos-condiciones/,Términos y Condiciones &#8211; sitio prueba
/mi-portal/avisos-municipales/,?aviso=6,http://localhost:10028/mi-portal/avisos-municipales/?aviso=6,200,OK,http://localhost:10028/mi-portal/avisos-municipales/?aviso=6,Avisos municipales - sitio prueba
/mi-portal/avisos-municipales/,http://localhost:10028/contacto/,http://localhost:10028/contacto/,200,OK,http://localhost:10028/contacto/,Contacto &#8211; sitio prueba
/mi-portal/avisos-municipales/,/avisos-municipales/?categoria=servicios-sociales,http://localhost:10028/avisos-municipales/?categoria=servicios-sociales,200,NOT_FOUND,http://localhost:10028/avisos-municipales/?categoria=servicios-sociales,Avisos municipales - sitio prueba
/mi-portal/avisos-municipales/,?aviso=2,http://localhost:10028/mi-portal/avisos-municipales/?aviso=2,200,OK,http://localhost:10028/mi-portal/avisos-municipales/?aviso=2,Avisos municipales - sitio prueba
/mi-portal/avisos-municipales/,?aviso=3,http://localhost:10028/mi-portal/avisos-municipales/?aviso=3,200,OK,http://localhost:10028/mi-portal/avisos-municipales/?aviso=3,Avisos municipales - sitio prueba
/mi-portal/avisos-municipales/,/avisos-municipales/?categoria=medio-ambiente,http://localhost:10028/avisos-municipales/?categoria=medio-ambiente,200,NOT_FOUND,http://localhost:10028/avisos-municipales/?categoria=medio-ambiente,Avisos municipales - sitio prueba
/mi-portal/avisos-municipales/,/avisos-municipales/?categoria=emergencias,http://localhost:10028/avisos-municipales/?categoria=emergencias,200,NOT_FOUND,http://localhost:10028/avisos-municipales/?categoria=emergencias,Avisos municipales - sitio prueba
/mi-portal/avisos-municipales/,http://localhost:10028/mi-portal/,http://localhost:10028/mi-portal/,200,OK,http://localhost:10028/mi-portal/,Dashboard - sitio prueba
/mi-portal/avisos-municipales/,/avisos-municipales/?categoria=cultura,http://localhost:10028/avisos-municipales/?categoria=cultura,200,NOT_FOUND,http://localhost:10028/avisos-municipales/?categoria=cultura,Avisos municipales - sitio prueba
/mi-portal/avisos-municipales/,http://localhost:10028,http://localhost:10028,200,OK,http://localhost:10028/,sitio prueba
/mi-portal/ayuda-vecinal/,http://localhost:10028/wp-login.php?action=logout&#038;_wpnonce=cb4ccb2658,http://localhost:10028/wp-login.php?action=logout&#038;_wpnonce=cb4ccb2658,403,OK,http://localhost:10028/wp-login.php?action=logout&#038;_wpnonce=cb4ccb2658,You are attempting to log out of sitio prueba
/mi-portal/ayuda-vecinal/,http://localhost:10028/orders/,http://localhost:10028/orders/,404,NOT_FOUND,http://localhost:10028/orders/,Page not found &#8211; sitio prueba
/mi-portal/ayuda-vecinal/,http://localhost:10028/hello-world/,http://localhost:10028/hello-world/,200,OK,http://localhost:10028/hello-world/,Hello world! &#8211; sitio prueba
/mi-portal/ayuda-vecinal/,http://localhost:10028/cookies,http://localhost:10028/cookies,404,NOT_FOUND,http://localhost:10028/cookies,Page not found &#8211; sitio prueba
/mi-portal/ayuda-vecinal/,http://localhost:10028/wp-login.php?action=logout&#038;redirect_to=http%3A%2F%2Flocalhost%3A10028&#038;_wpnonce=cb4ccb2658,http://localhost:10028/wp-login.php?action=logout&#038;redirect_to=http%3A%2F%2Flocalhost%3A10028&#038;_wpnonce=cb4ccb2658,403,OK,http://localhost:10028/wp-login.php?action=logout&#038;redirect_to=http%3A%2F%2Flocalhost%3A10028&%23038;_wpnonce=cb4ccb2658,You are attempting to log out of sitio prueba
/mi-portal/ayuda-vecinal/,http://localhost:10028/mi-portal/ayuda-vecinal/,http://localhost:10028/mi-portal/ayuda-vecinal/,200,OK,http://localhost:10028/mi-portal/ayuda-vecinal/,Ayuda vecinal - sitio prueba
/mi-portal/ayuda-vecinal/,http://localhost:10028/xmlrpc.php?rsd,http://localhost:10028/xmlrpc.php?rsd,200,OK,http://localhost:10028/xmlrpc.php?rsd,
/mi-portal/ayuda-vecinal/,http://localhost:10028/,http://localhost:10028/,200,OK,http://localhost:10028/,sitio prueba
/mi-portal/ayuda-vecinal/,http://localhost:10028/terminos,http://localhost:10028/terminos,200,OK,http://localhost:10028/terminos-condiciones/,Términos y Condiciones &#8211; sitio prueba
/mi-portal/ayuda-vecinal/,http://localhost:10028/ayuda-vecinal/,http://localhost:10028/ayuda-vecinal/,200,NOT_FOUND,http://localhost:10028/ayuda-vecinal/,Ayuda vecinal - sitio prueba
/mi-portal/ayuda-vecinal/,http://localhost:10028/contacto/,http://localhost:10028/contacto/,200,OK,http://localhost:10028/contacto/,Contacto &#8211; sitio prueba
/mi-portal/ayuda-vecinal/,http://localhost:10028/mi-portal/,http://localhost:10028/mi-portal/,200,OK,http://localhost:10028/mi-portal/,Dashboard - sitio prueba
/mi-portal/ayuda-vecinal/,http://localhost:10028,http://localhost:10028,200,OK,http://localhost:10028/,sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/27/,http://localhost:10028/mi-portal/banco-tiempo/editar/27/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/27/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/137/,http://localhost:10028/mi-portal/banco-tiempo/editar/137/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/137/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/150/,http://localhost:10028/mi-portal/banco-tiempo/editar/150/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/150/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/142/,http://localhost:10028/mi-portal/banco-tiempo/editar/142/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/142/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/62/,http://localhost:10028/mi-portal/banco-tiempo/editar/62/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/62/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/5/,http://localhost:10028/mi-portal/banco-tiempo/editar/5/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/5/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/129/,http://localhost:10028/mi-portal/banco-tiempo/editar/129/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/129/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/130/,http://localhost:10028/mi-portal/banco-tiempo/editar/130/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/130/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/135/,http://localhost:10028/mi-portal/banco-tiempo/editar/135/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/135/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/4/,http://localhost:10028/mi-portal/banco-tiempo/editar/4/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/4/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/84/,http://localhost:10028/mi-portal/banco-tiempo/editar/84/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/84/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/wp-login.php?action=logout&#038;redirect_to=http%3A%2F%2Flocalhost%3A10028&#038;_wpnonce=cb4ccb2658,http://localhost:10028/wp-login.php?action=logout&#038;redirect_to=http%3A%2F%2Flocalhost%3A10028&#038;_wpnonce=cb4ccb2658,403,OK,http://localhost:10028/wp-login.php?action=logout&#038;redirect_to=http%3A%2F%2Flocalhost%3A10028&%23038;_wpnonce=cb4ccb2658,You are attempting to log out of sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/38/,http://localhost:10028/mi-portal/banco-tiempo/editar/38/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/38/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/31/,http://localhost:10028/mi-portal/banco-tiempo/editar/31/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/31/,Banco tiempo - sitio prueba
